Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Privacy concerns of the Australian My Health Record: Implications for other large-scale opt-out personal health records,10 categories of stakeholders expressed 9 types of privacy concerns in the Twitter discussions about the Australian My Health Record.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Privacy concerns of the Australian My Health Record: Implications for other large-scale opt-out personal health records,"Different roles of stakeholders demonstrate different focuses of privacy concerns, and it will be useful to involve them early in the rollout of personal health records.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Privacy concerns of the Australian My Health Record: Implications for other large-scale opt-out personal health records,"Stakeholders of personal health records shows enthusiasm for improving privacy issues, and social media can be a useful channel for collecting feedback.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Privacy concerns of the Australian My Health Record: Implications for other large-scale opt-out personal health records,We also discuss the implications for improving the consent model and third-party access of personal health records.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A deep neural network model for speakers coreference resolution in legal texts,"We explore a new problem of Speakers Coreference Resolution in legal texts, and provide annotated dataset for further research.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A deep neural network model for speakers coreference resolution in legal texts,"We investigate two different solutions to resolve coreference, and create document-level graphs to integrate contextual information. It enables us to effectively establish dependencies between entities and avoid making locally consistent but globally inconsistent decisions.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A deep neural network model for speakers coreference resolution in legal texts,"The proposed method achieves competitive performance, outperforming the baseline systems by a large margin, which can be applied in many downstream tasks such as question answering and text understanding.",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
GENE: Graph generation conditioned on named entities for polarity and controversy detection in social media,"We introduce GENE, a method for generating user networks conditioned on the joint representation of users, entities, and the inclination of users towards those entities (positive, neutral or negative).",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
GENE: Graph generation conditioned on named entities for polarity and controversy detection in social media,"Extensive experiments indicate that for the task of controversy detection, GENE creates a rich representation of user networks, conditioned on polarized entities, that outperforms both lexicon-based methods as well as graph representations which do not exploit the entities and polarization contexts.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
GENE: Graph generation conditioned on named entities for polarity and controversy detection in social media,"In an early controversy detection setting, GENE also shows superior performance compared to other methods, favoring the early forecast of polarization in a user network and the characterization of a scenario for the emergence of controversy.",IPM,performance Evaluation,performance Evaluation,1,performance Evaluation,,,,,,,,,,,,,,,,,,,
GENE: Graph generation conditioned on named entities for polarity and controversy detection in social media,We release a new dataset that includes news and conversational threads from which this study was conducted.,IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
"Multi-source domain adaptation with graph embedding and adaptive label prediction

Author links open overlay panel","Moment matching and geometry alignment are leveraged in a unified framework to handle multi-source domain adaptation problems. The first-order MMDs measure the discrepancies between different domains, while Laplacian graphs are constructed to preserve the geometric structure",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"Multi-source domain adaptation with graph embedding and adaptive label prediction

Author links open overlay panel","Specifically, MMDs are minimized to reduce the distribution gap of the source and target domains, while the similarity and discriminability of sample relationship are preserved in the designed undirected graphs.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"Multi-source domain adaptation with graph embedding and adaptive label prediction

Author links open overlay panel",Both of moment matching and geometry alignment facilitate to learn a domain-invariant subspace where knowledge can be transferred across domains in the learned subspace.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
"Multi-source domain adaptation with graph embedding and adaptive label prediction

Author links open overlay panel","Based on the new representations learned in the common feature subspace, we propose two strategies (ALP-u and ALP-s) for pseudo-labeling in both low-dimensional subspace and high-dimensional RKHS.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"Multi-source domain adaptation with graph embedding and adaptive label prediction

Author links open overlay panel","We carry out extensive experiments to demonstrate the effectiveness of ALP-u and ALP-s on different domain adaptation scenarios, including traditional single-source-to-single-target, multi-sources-to-single-target and multi-sources-to-multi-targets. Our work surpasses state-of-the-arts on three benchmark datasets notably.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
An unsupervised lexical normalization for Roman Hindi and Urdu sentiment analysis,"A novel broad-coverage, domain-independent, unsupervised phonetic encoder for Roman Hindi/Urdu word normalization is presented, which utilizes a transliteration based approach to assign the same matching code to lexical variations of a Roman Urdu word.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
An unsupervised lexical normalization for Roman Hindi and Urdu sentiment analysis,This technique is referred to as the Transliteration based Encoding technique for Roman Urdu word Normalization (TERUN).,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
An unsupervised lexical normalization for Roman Hindi and Urdu sentiment analysis,"The impact of word standardization on Roman Urdu sentiment analysis classification accuracy is evaluated using TERUN and other established techniques. TERUN outperformed the other techniques: Soundex, Metaphone, Double-Metaphone, Caverphone, New York State Identification and Intelligence System (NYSIIS) and Kölner Phonetik (Kph), using accuracy as a performance measure.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
An unsupervised lexical normalization for Roman Hindi and Urdu sentiment analysis,"TERUN and other established encoding techniques are intrinsically evaluated using 20,000 lexically variant words. The results clearly show the superiority of TERUN over the other encoding techniques.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
An unsupervised lexical normalization for Roman Hindi and Urdu sentiment analysis,"TERUN is also extended from a corpus dependent to a broad-coverage corpus independent Roman Urdu word normalization technique. To do this, a dataset of 50,000 of the most frequent Urdu words was collected and annotated to a standard Roman form using comprehensive annotation guidelines defined explicitly for this purpose.",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
Drink2Vec: Improving the classification of alcohol-related tweets using distributional semantics and external contextual enrichment,"The proposition of Drink2Vec and an assessment on the most effective way to integrate distributional semantics with external enrichment contextual strategies to improve the classification of alcohol-related tweets. Drink2Vec encompasses Drink2Symbol, a method that evolved from our previous work",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Drink2Vec: Improving the classification of alcohol-related tweets using distributional semantics and external contextual enrichment,"We demonstrate that drinking embeddings capture interesting nuances of alcohol consumption vocabulary, and that a stacking ensemble (Drink2Ensemble) balances the strengths of each method. Using our techniques, we outperformed existing baselines",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Drink2Vec: Improving the classification of alcohol-related tweets using distributional semantics and external contextual enrichment,"These methods can be adapted to several other domains, such as the consumption of other types of drugs, gender and social harassment, gender discrimination or violence, flame or hate, among others;",IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Drink2Vec: Improving the classification of alcohol-related tweets using distributional semantics and external contextual enrichment,An evaluation of the contribution of the underlying contextual enrichment strategies to this classification problem according to a broad experimental setting.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Drink2Vec: Improving the classification of alcohol-related tweets using distributional semantics and external contextual enrichment,"It encompasses distinct classifiers used in winning solutions on Kaggle competitions, five datasets addressing different alcohol consumption behaviors, and an in-depth analysis of the contributions of each contextual enrichment strategy to alcohol-related texting, and their integration.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Drink2Vec: Improving the classification of alcohol-related tweets using distributional semantics and external contextual enrichment,"Two new datasets containing tweets mentioning alcohol and its consumption, which can be used in future studies related to the classification of alcohol-related tweets.",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
An incentive-aware blockchain-based solution for internet of fake media things,A prevention system to Fake News rather than only a detection system,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
An incentive-aware blockchain-based solution for internet of fake media things,A customized Proof-of-Authority protocol,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
An incentive-aware blockchain-based solution for internet of fake media things,An applicable scenario of Blockchain technology outside of its financial roots,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Shallow and deep learning for event relatedness classification,"We define a new application-oriented variation of the event relatedness classification task, which merges different fine-grained event relation types reported elsewhere into one concept, and which focuses on linking automatically extracted event templates, potentially containing erroneous and incomplete information,",IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Shallow and deep learning for event relatedness classification,"We explore and compare the relatedness classification performance on this new task across a range of shallow learning methods (including the current state-of-the-art methods) built on a set of linguistically lightweight features (some of which not presented elsewhere, e.g. HypernymOverlap via exploitation of BabelNet), being easily portable across languages,",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Shallow and deep learning for event relatedness classification,We provide initial results of exploiting deep learning techniques for this purpose,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Shallow and deep learning for event relatedness classification,We create and make available to the research community a new moderate-size event corpus annotated with event relatedness information that appears bigger than other relevant resources made available to the community.,IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors,a framework to analyze the emotional reactions to mass violent events on Twitter.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors,use of the basic emotions to reveal the multiple dimensions of negative sentiment.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors,study of the influence of user and event properties on the emotional reaction.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors,analysis of eight mass shooting events to generalize the findings.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A framework to analyze the emotional reactions to mass violent events on Twitter and influential factors,"experimented with CNN, biLSTM and BERT to develop emotion classifiers, trained automatically labeled datasets.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction,"We propose an entity-aware enhanced word representation with rich context, which enables the downstream modules to learn robust semantic features.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction,We combine the global gate structure and PCNN to better capture the global and local features of the sentence.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction,"We introduce a gate mechanism after the max-pooling layer of PCNN model, which assigns different weights to the three segments and highlights the effect of crucial segments.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A gated piecewise CNN with entity-aware enhancement for distantly supervised relation extraction,Our model is evaluated on the widely used benchmark dataset and outperforms most of the stateof-the-art methods.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval,A semantic rebasing mechanism is proposed to learn a sparse semantic graph structure to preserve similarity information of different modalities for binary code learning.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval,The proposed method focuses on both similarity preserving and quantization to gain satisfied retrieval performance.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval,Auto-encoding structure of both modalities is included to improve the performance.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Semantic-rebased cross-modal hashing for scalable unsupervised text-visual retrieval,Extensive experiments on four popular datasets shows the effectiveness of the proposed method.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
An overview of microblog user geolocation methods,"This paper reviews the existing microblog user geolocalisation methods, and summarizes a general framework for microblog user geolocalisation. Along with the framework, we review the studies on user geolocalisation from the aspects of data acquisition, data preprocessing, location representation, user geolocalisation methods categorization, and evaluation metrics.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
An overview of microblog user geolocation methods,"Based on the input of the geolocalisation algorithm, we categorize microblog user geolocalisation methods into three categories: text-based methods, network-based methods, and multi-view based methods. We summarize the advantages and limitations of each type of method theoretically.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
An overview of microblog user geolocation methods,We conduct a performance comparison of existing methods based on the results reported in existing literature with the most widely used real-world datasets and evaluation metrics.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
An overview of microblog user geolocation methods,The advantages and disadvantages of existing methods are further uncovered by comparing them experimentally. Important research challenges that may need further attention are discussed according to our analysis.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
An overview of microblog user geolocation methods,Survey findings conclude that multiview-based methods are superior to the text-based methods as well as the network-based methods.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
An overview of microblog user geolocation methods,"Besides that, existing user geolocalisation methods cannot capture the user's home location change, resulting in the misjudged results. A",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Consumer health information needs: A systematic review of instrument development,A review on the methodological and psychometric quality of both the instruments for consumer health information needs and those for patient needs that contained health information needs sections was conducted;,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Consumer health information needs: A systematic review of instrument development,A two-phase literature search strategy was applied to retrieve relevant validation studies;,IPM,algorithm or Method or Technology Optimization,algorithm or Method or Technology Optimization,1,algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Consumer health information needs: A systematic review of instrument development,"Overall, both groups of questionnaire instruments were not well developed: only structural validity, internal consistency tests and content validity analysis were performed in about 50 percent of them, while other types of validations were missing in most of them;",IPM,performance Evaluation,performance Evaluation,1,performance Evaluation,,,,,,,,,,,,,,,,,,,
Consumer health information needs: A systematic review of instrument development,Instruments used for assessing patient needs were found to have better tests of construct validity and handling of floor and ceiling effects;,IPM,performance Evaluation,performance Evaluation,1,performance Evaluation,,,,,,,,,,,,,,,,,,,
Consumer health information needs: A systematic review of instrument development,Theories and frameworks of information needs can be integrated within the development process to improve the design.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms

Author links open overlay panel",Gender Stereotype Reinforcement (GSR) measure tailored for Search Engines.,IPM,algorithm or Method or Technology Optimization,algorithm or Method or Technology Optimization,1,algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms

Author links open overlay panel",Evaluation of GSR within the construct validity framework.,IPM,performance Evaluation,performance Evaluation,1,performance Evaluation,,,,,,,,,,,,,,,,,,,
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms

Author links open overlay panel","Audit, in terms of GSR, of several widely-known and used ranking algorithm.",IPM,algorithm or Method or Technology Optimization,performance Evaluation,0,performance Evaluation,,,,,,,,,,,,,,,,,,,
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms

Author links open overlay panel",Estimation of the impact of different Word Embedding debiasing approaches both on ranking effectiveness and countering gender bias.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
"Gender stereotype reinforcement: Measuring the gender bias conveyed by ranking algorithms

Author links open overlay panel",Quantitative and qualitative analysis showing suitability of shared IR test collection to analyze gender stereotype reinforcement.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM,Ramp-one OC-SVM as a non-convex semi-supervised technique.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM,The lack of labeled data for the deceptive opinions is addressed by R-OCSVM.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM,The effect of noises and outliers in the training set is diminished by ramp loss function.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A non-convex semi-supervised approach to opinion spam detection by ramp-one class SVM,The challenges and the future direction in opinion spam detection is discussed.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Blockchain-based public auditing for big data in cloud storage,The proposed scheme provides more secure and reliable public auditing services for cloud storage.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Blockchain-based public auditing for big data in cloud storage,"In the scheme, only two entities (Cloud Service Provider and Data Owners) are involved, and blockchain technique instead of a Third Party Auditor is utilized to provide a better auditing service.",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Blockchain-based public auditing for big data in cloud storage,"A security analysis is provided, and the network performance simulation is conducted on our scheme and others.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Blockchain-based public auditing for big data in cloud storage,"Our scheme outperforms others in terms of security and overheads on computation, communication and storage.",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,"we define an action command ontology for the humanoid robot NAO containing all the physical movements that NAO can perform, all its body parts and all related words and synonyms;",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,we develop an NLP engine to extract from natural language sentences actions to be mapped in the defined ontology and that the robot will perform;,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,we define the concept of incompatibility among the actions of the robot and give the definition of the robot state;,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,"we introduce two modes for NAO to operate, STATELESS and STATEFUL. When in STATEFUL mode, NAO performs a recognized action if and only if this is compatible with NAO’s current state;",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,we provide new directions for the interaction between the user and a humanoid robot: the user will have to learn the incompatibilities of the robot postures when in STATEFUL mode if he/she wants the robot to perform any action command and the robot has available all the natural language commands given by the user for future forecasting of missing terms;,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,we run the NLP engine on cloud computing resources and a software layer on the NAO robot which is responsible to interact with the user and communicate with the NLP engine;,IPM,Model Optimization,Algorithm or Method or Technology Optimization,0,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,"we made publicly available the developed ontology, the NLP engine, and the developed software for the community;",IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Knowledge acquisition from parsing natural language expressions for humanoid robot action commands,we carried out a performance evaluation on five subjects in order to test our approach and identifying potential weakness of the system that we can improve as future development.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Building a morpho-semantic knowledge graph for Arabic information retrieval,A morpho-semantic knowledge graph CAMS-KG is built from vocalized Classical Arabic corpus.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Building a morpho-semantic knowledge graph for Arabic information retrieval,"CAMS-KG combines tools for morphological analysis and disambiguation, and implements a concordance builder tool, and KG representation.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Building a morpho-semantic knowledge graph for Arabic information retrieval,KG stores the extracted morpho-semantic knowledge: representing morphological categories and both morphological and semantic relations.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Building a morpho-semantic knowledge graph for Arabic information retrieval,BM25 ranking is used for retrieving related documents for a given query.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Building a morpho-semantic knowledge graph for Arabic information retrieval,"CAMS-KG is evaluated on two datasets (Tashkeela, and ZAD). Several query expansion strategies are experimented on 25 queries from ZAD dataset.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Content-based characterization of online social communities,Analysis and extraction of six syntactic and semantic features from tweets.,IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Content-based characterization of online social communities,Identification of topics and proper nouns as characteristic features of a community.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Content-based characterization of online social communities,The research provides insights on how people from specific communities share similar content.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Network measures: A new paradigm towards reliable novel word sense detection,First ever attempt to apply complex network theory for precise novel sense detection.,IPM,Model Construction,Applications,0,Applications,,,,,,,,,,,,,,,,,,,
Network measures: A new paradigm towards reliable novel word sense detection,Complex network measures boosts the precision values from 0.23-0.32 to 0.74-0.86.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Network measures: A new paradigm towards reliable novel word sense detection,Gold standard dataset prepared by us for this task are made publicly available.,IPM,Resources,Dataset Creation,0,Dataset Creation,,,,,,,,,,,,,,,,,,,
Adversarial text generation with context adapted global knowledge and a self-attentive discriminator,A word sequence-based adversarial network that exploits the semantics of the corpus by adapting global word embeddings to the context of analysis.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Adversarial text generation with context adapted global knowledge and a self-attentive discriminator,Evaluation framework based on quantitative and qualitative analyses.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Hierarchical neural query suggestion with an attention mechanism,"We tackle the challenge of query suggestion in a novel way by proposing an Attention-based Hierarchical Neural Query Suggestion model, i.e., AHNQS, which adopts a hierarchical structure containing a user attention mechanism to better capture the user’s search intent.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Hierarchical neural query suggestion with an attention mechanism,"We analyse the impact of session length on query suggestion performance and find that AHNQS consistently yields the best performance, especially with short search contexts.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Hierarchical neural query suggestion with an attention mechanism,"We examine the performance of AHNQS with different numbers of users’ sessions. We find that AHNQS always yields better performance over the best baseline model, especially for users with few search sessions.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
PF-BTS: A Privacy-Aware Fog-enhanced Blockchain-assisted task scheduling,"We proposed a model that exploits Blockchain miner nodes for generating optimal scheduling solutions, namely PF-BTS.",IPM,Model Optimization,Model Construction,0,Model Construction,,,,,,,,,,,,,,,,,,,
PF-BTS: A Privacy-Aware Fog-enhanced Blockchain-assisted task scheduling,We deployed the Ant Colony Optimization algorithm in a Fog-Blockchain architecture.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
PF-BTS: A Privacy-Aware Fog-enhanced Blockchain-assisted task scheduling,PF-BTS was experimentally proven to provide more optimal solutions than previously proposed Blockchain-based task scheduling models.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A Survey on Blockchain for Information Systems Management and Security,Extensive survey carried out regarding the use of blockchain within information systems.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A Survey on Blockchain for Information Systems Management and Security,We conducted the first blockchain-based information system analysis.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A Survey on Blockchain for Information Systems Management and Security,We addressed all issues in the information systems management area.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Exploring askers’ switching from free to paid social Q&A services: A perspective on the push-pull-mooring framework,"Based on the push-pull-mooring framework, we identified and classified factors that influenced askers’ to switch from free to paid Q&A services, using the critical incident technique.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Exploring askers’ switching from free to paid social Q&A services: A perspective on the push-pull-mooring framework,"We calculated the entropy weights of the 16 subcategories before and after the switch, using the entropy weight method.",IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Context-Controlled Topic-Aware Neural Response Generation for Open-Domain Dialog Systems,"Inspired by human conversation patterns, we design a context-controlled topic transiting strategy. It not only can produce relevant transition words to enhance response quality, but also can work as an auxiliary learning task which in turn helps the learning process of response generation converge fast.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
