Contributions,Source,Labels,,,,
"MGNER is highly modularized. Each module
in MGNER can adopt a wide range of neural network designs. Moreover, MGNER can
be easily extended to many other related information extraction tasks.",ACL,Applications,,,,
we show experimental results show that our model significantly outperforms previous methods of using gazetteers and the state-of-the-art Chinese NER models,ACL,Model Optimization,,,,
"we propose an alternative approach to address this limitation, and in particular, to train models by marginalizing over the set of segmentations",ACL,Model Optimization,,,,
We propose a phrase prediction model that improves the performance of state-of-the-art word-level language models,ACL,Model Optimization,,,,
We introduce an adaptive optimizer to selfadjust the number of iterations for each example in order to improve instance-level convergence and enhance the reliability of routing processes.,ACL,Algorithm or Method or Technology Optimization,,,,
we propose a neural P2C conversion model augmented by an online updated vocabulary with a sampling mechanism to support open vocabulary learning during IME working.,ACL,Model Construction,,,,
we propose a method to simultaneously learn tokenization and text classification to address these problems. Our model incorporates a language model for unsupervised tokenization into a text classifier and then trains both models simultaneously,ACL,New Algorithm or Method or Technology,,,,
"we show that models trained on these corpora acquire and propagate these biases, such that AAE tweets and tweets by self-identified African Americans are up to two times more likely to be labelled as offensive compared to others.",ACL,Performance Evaluation,,,,
"We introduce LSTMEmbed, an RNN model based on a bidirectional LSTM for learning word and sense embeddings in the same semantic space, which – in contrast to the most popular approaches to the task – takes word ordering into account.",ACL,Model Construction,,,,
The proposed translation models outperform the state-of-the-art NMT baselines systems with a similar number of parameters and achieve comparable results compared to NMT systems with much more parameters.,ACL,Applications,,,,
"we analyze the performance of different models on different types of constituents, and find that our model shows substantial improvement on noun phrases and prepositional phrases which are common in captions",ACL,Performance Evaluation,,,,
"We design novel relationalspeaker models, including a dynamic relational
attention module, to handle the problem of twoimage captioning by focusing on all their visual
relationships",ACL,Model Construction,,,,
We conduct extensive experiments showing that our model outperforms the state-of-theart both in automated and human evaluations.,ACL,Performance Evaluation,,,,
"We propose a sentiment intensity controlled generative model Seq2SentiSeq, in which a sentiment intensity value is introduced via a Gaussian kernel layer to achieve fine-grained sentiment control of the generated sentence.",ACL,Model Construction,,,,
"We propose to break up the table-to-text generation into two stages with two separate models, so that the model can be trained with fewer annotated data.",ACL,Model Construction,,,,
"We redesign the ELBO of the joint log likelihood, to accommodate two separate latent spaces in one VAE framework, for two SIVAE model variants based on different intuitions, which can be further used for other applications.",ACL,Algorithm or Method or Technology Optimization,,,,
"we utilize a multi-level decoder structure to capture the coherent long-term structure inherent in long-form texts, by generating intermediate sentence representations as highlevel plan vectors.",ACL,New Algorithm or Method or Technology,,,,
"we extend supervised DIM to semi-supervision setup (SEMIDIM), where unsupervised learning objectives based on unlabeled data are also optimized",ACL,Algorithm or Method or Technology Optimization,,,,
"we propose that the rich multi-modal data from recording the meeting environment, especially cameras facing each participant, can provide speaker interaction and participant feedback to discover salient utterances.",ACL,Theory Proposal,,,,
We introduce multi-style learning that enables our model to control answer styles and improves RC for all styles involved.,ACL,New Algorithm or Method or Technology,,,,
We use a co-attention mechanism to model sentence coherence and integrate the coherenceand entailment-based attentions into our proposed hierarchical attention framework for better evidence embedding,ACL,New Algorithm or Method or Technology,,,,
we analyze the usefulness of a user’s network information over the user’s tweets for predicting its occupational group. We extend the existing dataset for occupation classification by introducing the network information about a user,ACL,Theory Proposal,,,,
we propose the WMM2Seq for dialog generation which separates the storage of dialog history and KB information by using the episodic and semantic memories and then leverages the working memory to interact with them,ACL,Theory Proposal,,,,
"we consider an extension to the FC scenario, where a practitioner has the computational capacity to fit multiple models in parallel.",ACL,New Algorithm or Method or Technology,,,,
It seamlessly integrates implicit anticipation and translation in a single model that directly predicts target words without explictly hallucinating source ones.,ACL,Model Construction,,,,
Our prefix-to-prefix framework is tailored to simultaneous translation and trained from scratch without using full-sentence models.,ACL,New Algorithm or Method or Technology,,,,
"We combine the ability of BERT to handle sentence pair inputs together with its pre-trained multilingual model, to use both the src and mt in a cross-lingual encoder, that takes a multilingual sentence pair as input",ACL,New Algorithm or Method or Technology,,,,
"we propose a framework, which
we call LANGRANK, to empirically answer the
question posed above: given a particular task lowresource language and NLP task, how can we determine which languages we should be performing
transfer",ACL,New Algorithm or Method or Technology,,,,
"We propose a morphology-aware alignment model for unsupervised bilingual lexicon induction, which aims to alleviate the adverse effect of morphological variation by introducing grammatical information learned from pre-trained language model.",ACL,Model Construction,,,,
"We demonstrate a speed-up of several orders of magnitude when predicting word similarity by vector operations on our embeddings as opposed to directly computing the respective path-based measures, while outperforming various other graph embeddings",ACL,New Algorithm or Method or Technology,,,,
"we design an NPI-based model that simulates the editing process by a programmer and an interpreter, which outperforms the state-of-the-art neural MT-based TS models by large margins in terms of SARI and is judged by humans as simpler and overall better",ACL,Model Construction,,,,
"It proposes the use of a unique combination of lexical, sentiment, durational and further derivative features of adjacency pairs to train traditional classification models",ACL,Dataset Creation,,,,
"r aims to improve existing document
embedding models (Le and Mikolov, 2014; Li
et al., 2016a) by training document embeddings
using cosine similarity instead of dot product",ACL,Model Optimization,,,,
r presents an alternative to the current morpheme-based scheme for Japanese word segmentation,ACL,Theory Proposal,,,,
"we propose a joint neural model to simultaneously extract names and kinships from obituaries, which combines a two-layer bidirectional Long Short-Term Memory (bi-LSTM) (Hochreiter and Schmidhuber, 1997) and a unique tagging scheme",ACL,Model Construction,,,,
"we exploited ensembles based on a pretrained language representation with a neural transformer architecture (BERT) (Tasks 1
and 4) and a CNN-BiLSTM(-CRF) network
within a multi-task learning scenario",ACL,New Algorithm or Method or Technology,,,,
"We propose a novel architecture that encodes
locally stored domain information into sentence representation.",ACL,New Algorithm or Method or Technology,,,,
"we propose a new approach for learning thematic relatedness between sentences, formulating the related TDC task and creating a thematic clustering benchmark",ACL,New Algorithm or Method or Technology,,,,
"we propose a new approach to triclustering, achieving state-of-the-art performance on the frame induction task",ACL,Algorithm or Method or Technology Optimization,,,,
"we propose an approach based on linguistic knowledge for identification of aliases mentioned using proper nouns, pronouns or noun phrases with common noun headword",ACL,New Algorithm or Method or Technology,,,,
we propose a new parallel recurrent neural network model for entity recognition,ACL,Model Construction,,,,
we use named entities as domain-specific terms for newscentric content and present a new weighting model for Latent Dirichlet Allocation,ACL,Model Construction,,,,
we study the problem of word ambiguities in definition modeling and propose a possible solution by employing latent variable modeling and soft attention mechanisms,ACL,Theory Proposal,,,,
The proposed CNN model performs comparatively or better than LSTM-based baselines on two different datasets,ACL,Model Construction,,,,
we extend the beam search to introduce more flexibility,ACL,Algorithm or Method or Technology Optimization,,,,
"we analized the the encoder-decoder framework learns the sequence-to-sequence task directly, bypassing other hand-crafted patterns and alleviating error propagation",ACL,Performance Evaluation,,,,
"we model the response
selection problem as a multi-class classification
problem with sequences as input, where the label of the true response is set to one and the
other candidates are set to zero.",ACL,Model Construction,,,,
"we introduce a different way to
handle reentrancy, and propose an attention-based model that treats AMR parsing as sequence-tograph transduction.",ACL,Model Construction,,,,
"we propose a novel
reliability-aware name tagging model to tackle
this issue. We design a set of word frequencybased reliability signals to indicate the quality
of each word embedding.",ACL,Model Construction,,,,
"We propose an end-to-end model for extract-
ing and canonicalizing triples to enrich a KB.
The model reduces error propagation between
relation extraction and NED, which existing
approaches are prone to.",ACL,Model Construction,,,,
"We propose the novel AGGCNs that learn a
“soft pruning” strategy in an end-to-end fashion, which learns how to select and discard
information. Combining with dense connections, our AGGCN model is able to learn a
better graph representation",ACL,Model Construction,,,,
"we proposed DihEdral to model
the relation in KG with the representation of dihedral group. The elements in a dihedral group are
constructed by rotation and reflection operations
over a 2D symmetric polygon.",ACL,Model Construction,,,,
we propose a novel recursive neural network architecture consisting of a decomposable attention framework in every branch,ACL,New Algorithm or Method or Technology,,,,
"It proposes a probabilistic model,
JELTA, which jointly estimates the credibility of
claims and the trustworthiness of sources, when
claims are made by sources directly, indirectly, or
both",ACL,Model Construction,,,,
"Our framework incorporates a TE model
as part of the global inference framework as a way
to link evidence (and thus, sources) to claims.",ACL,Model Construction,,,,
"We propose
a novel model to generate email subjects. Our automatic and human evaluations demonstrate that
our model outperforms competitive baselines and
approaches human-level quality.",ACL,Model Construction,,,,
"We propose a generic hierarchical fusion strategy, termed ‘divide, conquer and combine’, to explore both local and global interactions in multiple stages each focusing on
different dynamics.",ACL,New Algorithm or Method or Technology,,,,
"we propose an interactive multitask learning network (IMN), which solves both
tasks simultaneously, enabling the interactions between both tasks to be better exploited.",ACL,Model Construction,,,,
"we propose a novel Transfer
Capsule Network (TransCap) model to transfer
sentence-level semantic knowledge from DSC to
ASC.",ACL,Model Construction,,,,
"we
propose a progressive self-supervised attention learning approach for neural ASC models, which automatically mines useful attention supervision information from a training
corpus to refine attention mechanisms.",ACL,Model Construction,,,,
"A novel framework DOER is proposed to address the aspect term-polarity co-extraction
problem in an end-to-end fashion. A crossshared unit (CSU) is designed to leverage the
interaction of the two tasks",ACL,Model Construction,,,,
"We propose a MTL approach to coherence assessment
and compare it against a number of baselines",ACL,New Algorithm or Method or Technology,,,,
"we
designed a novel discourse relation identification pipeline specifically tuned for opendomain dialogue systems.",ACL,New Algorithm or Method or Technology,,,,
"we introduce Word Injection to LSC, a modeling idea drawn from term extraction, that overcomes the problem of vector space alignment.",ACL,Model Construction,,,,
"We introduce unified models for multi-task learning that learn three sets of features: task, task group, and task universe features;",ACL,Model Construction,,,,
"We propose a knowledge attention module,
which helps to select the most related and helpful knowledge from different KGs",ACL,Model Construction,,,,
we propose An end-to-end hierarchical neural model consisting of a shared encoder and different decoding schemes to jointly extract entities and negations.,ACL,Model Construction,,,,
"we present a novel method inspired by the determinantal point process for multi-document summarization. The method includes a diversity measure assessing the redundancy between sentences, and a quality measure that indicates the importance of sentences",ACL,New Algorithm or Method or Technology,,,,
we propose to learn topic-aware news representations by jointly training the news encoder with an auxiliary topic classification task,ACL,New Algorithm or Method or Technology,,,,
Proposing a novel end-toend sequence labeling architecture utilizing LDL to model the emphasis words in a given text.,ACL,New Algorithm or Method or Technology,,,,
"We propose a classifier by integrating multiple text feature sets, including the publicly available pre-trained textual language model Bi-directional Encoder Representation from transformers (BERT)",ACL,New Algorithm or Method or Technology,,,,
we propose the use of lattice positional embeddings to model positioning and ordering of lattice nodes.,ACL,Model Construction,,,,
"We propose the novel task of learning general-purpose embedding of textual relations, which has the potential to facilitate a wide range of relational understanding tasks",ACL,New Algorithm or Method or Technology,,,,
We present a novel and concise joint model to handle the joint type inference problem based on graph convolutional network,ACL,Model Construction,,,,
"We introduce a binary relation classification
task to explore the structure of entity-relation bipartite graph in a more efficient and interpretable way",ACL,New Algorithm or Method or Technology,,,,
"we propose GraphRel, a neural end-to-end joint model for entity recognition and relation extraction that is the first to handle all three key aspects in relation extraction",ACL,Model Construction,,,,
"we propose a neural pattern diagnosis framework, DIAG-NRE, that can automatically summarize and refine highquality relational patterns from noise data with human experts in the loop.",ACL,New Algorithm or Method or Technology,,,,
"We propose a novel Multi-channel GNN model MuGNN that learns alignmentoriented embeddings by encoding graphs from different perspectives: completion and pruning, so as to be robust to structural differences.",ACL,Model Construction,,,,
"we propose a lightweight recurrent network (LRN), which combines the strengths of ATR and SRU. The structure of LRN is simple: an input gate and a forget gate are applied to weight the current input and previous hidden state, respectively",ACL,Model Construction,,,,
we focus on perfectly decodable encoding of sentences which will be very useful in designing good generative models that can generate longer sentences.,ACL,Model Construction,,,,
"we present a new approach to counterfactual data augmentation 
for mitigating gender stereotypes associated with
animate nouns for morphologically rich languages.",ACL,New Algorithm or Method or Technology,,,,
"we introduce a generative latent-variable model that jointly represents adjective choice, with its sentiment, given the natural gender of a head noun.",ACL,Model Construction,,,,
we first propose a relation-aware semantic projection model to estimate probabilistic distributions of lexical relations over unlabeled data.,ACL,Model Construction,,,,
"we introduce a novel ‘continual architecture search’ (CAS) approach, where the model parameters evolves and adapts when trained sequentially on a new task while maintaining the performance on the previously learned tasks.",ACL,New Algorithm or Method or Technology,,,,
we propose a novel aspect-aware coarse-tofine decoder for generating product reviews. We first utilize unsupervised topic models to extract aspects and tag review sentences with aspect labels.,ACL,New Algorithm or Method or Technology,,,,
We propose a novel metaphor and personification generation model with a rhetorically controlled encoder-decoder.,ACL,New Algorithm or Method or Technology,,,,
We propose a memory-augmented neural model with adversarial training to integrate external commonsense knowledge into topicto-essay generation.,ACL,Model Construction,,,,
"we propose various multi-level network structures for the VAE model (ml-VAE), to address coherency and repetitiveness challenges associated with long-form text generation.",ACL,Theory Proposal,,,,
"we propose a novel data-totext generation model with two modules, one for saliency tracking and another for text generation.",ACL,Model Construction,,,,
"we propose the Extended Transformer model for Abstractive Document Summarization (ETADS) to tackle the above issues. Specifically, we design a novel focusattention mechanism and saliency-selection network equipped in the encoder and decoder",ACL,Model Construction,,,,
We propose a novel unsupervised end-to-end model to generate an abstractive summary of a single product review while inducing a latent discourse tree,ACL,Model Construction,,,,
We propose an RL approach with a novel adaptive reward function that explicitly encourages the model to generate both sufficient and accurate keyphrases,ACL,New Algorithm or Method or Technology,,,,
a new evaluation method that considers name variations of the keyphrase labels,ACL,Performance Evaluation,,,,
"we propose a multi-modal hierarchical attention mechanism across topic segments, utterances, and words. We learn topic segmentation as an auxiliary task and limit the attention within each segment.",ACL,New Algorithm or Method or Technology,,,,
"we propose an end-to-end MRC model named as Knowledge Aided Reader (KAR), which explicitly uses the above extracted general knowledge to assist its attention mechanisms.",ACL,Model Construction,,,,
"we propose RE3QA, a neural question answering model that conducts the full retrieve-read-rerank process for multi-document RC tasks.",ACL,Model Construction,,,,
We propose QFE for explainable multi-hop QA. We use the multi-task learning of the QA model for answer selection and QFE for evidence extraction.,ACL,New Algorithm or Method or Technology,,,,
"We devise a new approach KTNET to MRC. It outperforms competitive baselines, ranks the 1st place on the ReCoRD leaderboard, and is also the best single model on the SQuAD",ACL,Model Optimization,,,,
We propose two novel methods to handle the simplified HPSG parsing.,ACL,New Algorithm or Method or Technology,,,,
"We are the first to introduce the deep transition architecture for sequence labeling, and further enhance it with the global contextual representation at the sentence level, named GCDT",ACL,Theory Proposal,,,,
"We conduct elaborate investigations of global contextual representation, model complexity and effects of various components in GCDT.",ACL,Performance Evaluation,,,,
We propose a novel claim verification framework based on hierarchical attention neural networks to learn sentence-level evidence embeddings to obtain claim-specific representation,ACL,New Algorithm or Method or Technology,,,,
"we propose a simple, automatic recipe towards reducing hallucination for neural surface realisers by enhancing the semantic equivalence between pairs of MRs and utterances.",ACL,Theory Proposal,,,,
"We present a novel co-attention model, which aims at capturing intrinsic interactions between multiple modal contents.",ACL,Model Construction,,,,
We Propose a novel path-based reasoning approach for multi-hop QA over text that produces explanations in the form of explicit paths,ACL,New Algorithm or Method or Technology,,,,
"We design A model, PathNet, which aims to extract implicit relations from text and compose them",ACL,Model Construction,,,,
We define author context as the embedded representation of their historical posts on Twitter and suggest neural models that extract these representations.,ACL,Theory Proposal,,,,
we develop a novel framework for temporal relation representation that puts event duration front and center.,ACL,New Algorithm or Method or Technology,,,,
We propose a novel neural architecture Transformer-XL that enables learning dependency beyond a fixed length without disrupting temporal coherence.,ACL,New Algorithm or Method or Technology,,,,
we propose a novel model namely Reference Network that incorporates the referring process into translation decoding of NMT.,ACL,Model Construction,,,,
we propose a hard-attention based NMT model which selects a subset of source tokens for each target token to effectively handle long sequence translation.,ACL,Model Construction,,,,
we propose a sentencelevel agreement module to directly minimize the difference between the representation of source and target sentence.,ACL,New Algorithm or Method or Technology,,,,
"we introduce the topic entity graph, a local sub-graph of an entity, to represent entities with their contextual information in KG.",ACL,Theory Proposal,,,,
we focus on methods for cross-lingual transfer to distant languages and propose to learn a generative model with a structured prior that utilizes labeled source data and unlabeled target data jointly,ACL,Theory Proposal,,,,
"we propose to encode relational knowledge in a separate word embedding, which is aimed to be complementary to a given standard word embedding.",ACL,New Algorithm or Method or Technology,,,,
we propose a word embedding model which explicitly aims to learn context vectors that are organised in clusters.,ACL,Model Construction,,,,
"We propose a BERT-based end-to-end lexical substitution approach without relying on
any annotated data and external linguistic resources.",ACL,New Algorithm or Method or Technology,,,,
We propose a novel Seq2Seq model that decomposes the paraphrase generation into learning paraphrase patterns at different granularity levels separately,ACL,Model Construction,,,,
a methodology for testing existing models and proposed extensions.,ACL,New Algorithm or Method or Technology,,,,
proposing the use of Inverted Softmax and Cross-modal Local Scaling to replace naive nearest neighbor search (for inference).,ACL,Theory Proposal,,,,
"we present a recurrent neural model to detect ad hominem attack in a paragraph, and we experiment with various other models to compare them",ACL,Model Construction,,,,
We put forward a shared Bi-LSTM-CRF model for efficiently integrating multiple embeddings and sharing useful linguistic features;,ACL,Model Construction,,,,
"we propose a
new training schedule that allows the system
to scale to more languages without modification of the previous components based on
joint training and language-independent encoder/decoder modules allowing for zero-shot
translation.",ACL,New Algorithm or Method or Technology,,,,
we develop a neural model based on a CNN-LSTM architecture that learns to detect AD and related dementias using targeted and implicitly-learned features from conversational transcripts,ACL,Model Construction,,,,
we build the NMT systems for both EN-ID and ID-EN directions using the Transformer model,ACL,New Algorithm or Method or Technology,,,,
"We propose a new strategy for using scheduled sampling in Transformer models by
making two passes through the decoder in
training time.",ACL,New Algorithm or Method or Technology,,,,
"we propose an approach
of using semantic similarity between the output
sequence and the ground-truth sequence to train
the generation model.",ACL,Theory Proposal,,,,
"We present a modular framework for the rapidprototyping of linguistic, web-based, visual
analytics applications.",ACL,New Algorithm or Method or Technology,,,,
We present a demonstration of a neural interactive-predictive system for tackling multimodal sequence to sequence tasks,ACL,Theory Proposal,,,,
provides pretrained conversational models that can be either used directly or loaded for fine-tuning or bootstrapping other models; these models power an online demo of our framework.,ACL,Model Construction,,,,
"we present PERSPECTROSCOPE, a web-based system which lets users query a discussion-worthy natural language claim, and extract and visualize various perspectives in support or against the claim, along with evidence supporting each perspective",ACL,New Algorithm or Method or Technology,,,,
"We demonstrate HEIDL, a prototype HITLML system that exposes the machine-learned model through high-level, explainable linguistic expressions formed of predicates representing semantic structure of text",ACL,New Algorithm or Method or Technology,,,,
"We describe My Turn
To Read, an app that uses interleaved reading
to help developing and struggling readers improve reading skills while reading for meaning
and pleasure.",ACL,New Algorithm or Method or Technology,,,,
"we present ClaimPortal, a webbased platform for monitoring, searching, checking, and analytics of factual claims on Twitter. ClaimPortal is available at https://idir.
uta.edu/claimportal",ACL,New Algorithm or Method or Technology,,,,
We propose a graph walk based neural model that considers multiple entity pairs in relation extraction from a sentence,ACL,Model Construction,,,,
we develop a linguistically-infused neural network model to classify reactions in social media posts,ACL,Model Construction,,,,
we model this task using CNN regression with an auxiliary ordinal regression objective,ACL,Model Construction,,,,
we propose an unified approach to filter noisy bitexts and to mine bitexts in huge monolingual texts,ACL,New Algorithm or Method or Technology,,,,
Our model takes question-option tuple to generate a score for the concerned option,ACL,Model Construction,,,,
"we gauge human ability to perform cross-lingual gender detection, an angle of analysis which has not been studied thus far",ACL,Model Construction,,,,
we propose an entity-centric neural crosslingual coreference model,ACL,Model Construction,,,,
"we propose a novel Document Embedding Enhanced Bi-RNN model, called DEEB-RNN, for ED at sentence level",ACL,Model Construction,,,,
we propose a model that jointly identifies the domain and tracks the belief states corresponding to that domain,ACL,Model Construction,,,,
We propose the task of automatically rating academic papers and build a new dataset for this task,ACL,New Algorithm or Method or Technology,,,,
"proposal of a novel interaction-over-interaction
network which enables deep-level matching with
carefully designed interaction block chains",ACL,New Algorithm or Method or Technology,,,,
"we propose a novel method for
zero-shot multilingual transfer, inspired by research in truth inference in crowd-sourcing, a related problem, in which the ‘ground truth’ must be
inferred from the outputs of several unreliable annotators",ACL,New Algorithm or Method or Technology,,,,
"We propose the learning to route
(LTR) method to automatically select the good
translation path",ACL,New Algorithm or Method or Technology,,,,
"We propose a machine learning algorithm that
uses self-regulation in order to balance the cost
and effect of learning from different types of feedback.",ACL,New Algorithm or Method or Technology,,,,
"We propose a systematic
and principled method of injecting semantic
change in a controlled fashion.",ACL,New Algorithm or Method or Technology,,,,
"We introduce a novel corpus on aspect-based
argument similarity and demonstrate how contextualized word embeddings help to improve clustering similar arguments in a supervised fashion with
little training data.",ACL,Dataset Creation,,,,
"We introduce the simplified topic model STM
to infer the latent topic-level representations
and employ such topic-level relevance to recognize Chinese implicit discourse relations.",ACL,Model Construction,,,,
we design a computational methodology to quantitatively track systematic changes along the two dimensions of within- and between-counselor linguistic diversification.,ACL,New Algorithm or Method or Technology,,,,
We present algorithms for finding both consistent and contrastive expansions and demonstrate their effectiveness empirically.,ACL,Algorithm or Method or Technology Optimization,,,,
"We propose a multimodal method that is inspired by the way humans process emotions in a conversation. That is, lexical and acoustic information is simultaneously perceived at every word step.",ACL,New Algorithm or Method or Technology,,,,
"We propose a two-step framework to address the ECPE task, which first performs individual emotion extraction and cause extraction and then conduct emotion-cause pairing and filtering.",ACL,New Algorithm or Method or Technology,,,,
We propose an end-to-end method to incorporate MMR into pointer-generator networks.,ACL,New Algorithm or Method or Technology,,,,
We propose a method for text categorization that complements implicit representation by leveraging a predominant sense of a word.,ACL,New Algorithm or Method or Technology,,,,
we propose a new multi-task learning approach for rumor detection and stance classification tasks.,ACL,New Algorithm or Method or Technology,,,,
It systematically studies word alignment from NMT and proposes two approaches to induce word alignment which are agnostic to specific NMT models,ACL,Model Construction,,,,
"We present MILk attention, which allows us to build the first simultaneous MT system to learn an adaptive schedule jointly with an NMT model that attends over all source tokens read thus far",ACL,New Algorithm or Method or Technology,,,,
"We propose a novel attention regularization method for reducing the noise in DS. Our method forces the model to clearly explain the relation patterns in terms of attention, and selects trustable instances if they can be explained by the model.",ACL,New Algorithm or Method or Technology,,,,
We propose novel algorithms to generate more natural adversarial examples that both preserve the semantics and mislead the classifiers.,ACL,New Algorithm or Method or Technology,,,,
"we present our method for learning representations from imperfect human language across the language, visual, and acoustic modalities.",ACL,New Algorithm or Method or Technology,,,,
we propose a near lossless method for encoding long sequences of texts as well as all of their sub-sequences into feature rich representations.,ACL,New Algorithm or Method or Technology,,,,
"We propose a debiasing method that preserves the genderrelated information in feminine and masculine
words",ACL,New Algorithm or Method or Technology,,,,
We propose a simple method for TM-NMT integration that is based on augmenting the source data with retrieved fuzzy TM targets by means of concatenation.,ACL,New Algorithm or Method or Technology,,,,
we propose an approach based on dynamic linear combination of layers (DLCL) to memorizing the features extracted from all preceding layers.,ACL,Theory Proposal,,,,
"we propose a new and simpler method without a priori parallel corpora. Our premise is that NMT systems —either sequence to sequence models with RNNs, transformers, or any architecture based on encoder–decoder models",ACL,New Algorithm or Method or Technology,,,,
we introduce a novel constraint-driven approach to learning a document-level (‘global’) co-reference model without using any document-level annotation;,ACL,Model Construction,,,,
we propose a reinforcement learning (RL) framework that synchronously searches for training instances relevant to the target domain and learns better representations for them.,ACL,New Algorithm or Method or Technology,,,,
"We introduce a new task of Conversational Question Generation (CQG), which is crucial for developing intelligent agents to drive question-answering style conversations and can potentially provide valuable datasets for future relevant research.",ACL,New Algorithm or Method or Technology,,,,
We propose a novel bi-directional selective mechanism with two gates to mutually select important information from both article and template to assist with summary generation,ACL,New Algorithm or Method or Technology,,,,
We develop a Fast Rerank method to automatically select high-quality templates from training corpus.,ACL,Dataset Creation,,,,
"we propose a method to learn to select sentence singletons and pairs, which then serve as the basis for an abstractive summarizer to compose a summary sentence-by-sentence, where singletons are shortened and pairs are merged",ACL,New Algorithm or Method or Technology,,,,
We design a new network that can answer inferential question by recursively deducing the evidence chain from the text,ACL,New Algorithm or Method or Technology,,,,
We propose an effective termination mechanism which can dynamically determine the uncertain reasoning depth,ACL,New Algorithm or Method or Technology,,,,
"we propose a data enrichment method, which uses WordNet to extract inter-word semantic connections as general knowledge from each given passage-question pair",ACL,New Algorithm or Method or Technology,,,,
"We propose A novel text generation task (SQUASH), which converts documents into specificity-based hierarchies of QA pairs.",ACL,Theory Proposal,,,,
We proposed a novel PU learning algorithm to perform the NER task using only unlabeled data and named entity dictionaries.,ACL,New Algorithm or Method or Technology,,,,
"To make the above assumption hold as far as possible, we propose an adapted method, motivated by the AdaSampling algorithm, to enrich the dictionary.",ACL,New Algorithm or Method or Technology,,,,
we propose a new parsing algorithm for semantic dependency parsing (SDP) that combines transition-based and graph-based approaches,ACL,New Algorithm or Method or Technology,,,,
"we consider using cross-domain LM as a bridge cross-domains for NER domain adaptation, performing crossdomain and cross-task knowledge transfer by designing a novel parameter generation network.",ACL,Theory Proposal,,,,
"we propose a sequence-to-sequence (seq2seq) based neural keyphrase generation framework, enabling absent keyphrases to be created",ACL,New Algorithm or Method or Technology,,,,
A multi-task learning method that uses different sets of features to handle different types of hashtags,ACL,New Algorithm or Method or Technology,,,,
We propose a novel method for analyzing entities in a narrative that is both interpretable and generalizable,ACL,New Algorithm or Method or Technology,,,,
We propose the novel CogQA framework for multi-hop reading comprehension QA at scale according to human cognition,ACL,New Algorithm or Method or Technology,,,,
we propose a new method to solve the multi-hop RC problem across multiple documents.,ACL,New Algorithm or Method or Technology,,,,
We introduce methods based on sentence mover’s similarity; our automatic metrics evaluate text in a continuous space using word and sentence embeddings.,ACL,New Algorithm or Method or Technology,,,,
To propose a multi-level matching and aggregation network is proposed to encode query instances and class prototypes in an interactive fashion,ACL,New Algorithm or Method or Technology,,,,
"we introduce an adaptive and general framework for measuring similarity of the pairs of relations these distributions are
parameterized by a very simple neural network",ACL,New Algorithm or Method or Technology,,,,
we propose an unsupervised adaptation method which finetunes a pre-trained out-of-domain NMT model using a pseudo-in-domain corpus.,ACL,New Algorithm or Method or Technology,,,,
we propose a two step pipeline for building a rapid neural MT system for many languages. The pipeline does not require parallel data or parameter fine-tuning when adapting to new source languages.,ACL,New Algorithm or Method or Technology,,,,
"We propose a general method to detect cognates from multilingual lexical resources, with precision and recall parametrable according to usage needs",ACL,New Algorithm or Method or Technology,,,,
we introduce a neural decipherment algorithm that delivers strong performances across several languages with distinct linguistic characteristics.,ACL,New Algorithm or Method or Technology,,,,
we propose a new method for this task based on multilingual sentence embeddings,ACL,New Algorithm or Method or Technology,,,,
"we propose to generate, without supervision, synthetic parallel sentences that can be directly exploited to jointly train BWE with existing algorithms",ACL,Applications,,,,
we define and distinguish three aspects constituting to quality of biomedical name representations. We propose a novel encoding framework that considers all these aspects in the representation learning.,ACL,New Algorithm or Method or Technology,,,,
"We also present SemGCN, a framework for incorporating diverse semantic knowledge in learned word embeddings, without requiring relation-specific special handling as in previous methods.",ACL,New Algorithm or Method or Technology,,,,
"we propose delta embedding learning, a novel method that aims to address the above problems together: using regularization to find the optimal fine-tuning of word embeddings.",ACL,New Algorithm or Method or Technology,,,,
"We investigate how an LSTM language model deals with lexical ambiguity in English, designing a method to probe its hidden representations for lexical and contextual information about words.",ACL,New Algorithm or Method or Technology,,,,
We propose a Method for mapping entities from a graphical representation to the space in which a pretrained embedding lies,ACL,New Algorithm or Method or Technology,,,,
"Based on the proposed model, we develop a simple yet effective method for unsupervised domain adaptation.",ACL,Applications,,,,
Our goal is to present a patient biomedical QA system that can address the gaps in biomedical research and allows a patient to query their symptoms,ACL,Theory Proposal,,,,
methods for extracting of aggregated knowledge from patient experiences on online fora,ACL,New Algorithm or Method or Technology,,,,
"a method for cross-linking curated knowledge and complementary patient knowledge, and",ACL,New Algorithm or Method or Technology,,,,
"we propose a general approach for permuting the words in an input sentence based on the notion of simplification,",ACL,New Algorithm or Method or Technology,,,,
we present an unsupervised pretraining method for NMT models using Elastic Weight Consolidation,ACL,New Algorithm or Method or Technology,,,,
we propose a method for neural grammar error correction (GEC) that can control the degree of correction,ACL,New Algorithm or Method or Technology,,,,
we propose a method to predict a DA of the next response based on the history of previous utterances and their DAs.,ACL,New Algorithm or Method or Technology,,,,
", we propose a novel task, automatically generating personalized comment based on
user profile.",ACL,New Algorithm or Method or Technology,,,,
", we propose an inexpensive, scalable, CPUtrainable and efficient method of extractive text
summarization based on the use of sentence embeddings.",ACL,New Algorithm or Method or Technology,,,,
